t,x,y
788.1,2.4,0.9
790.1,2.4,0.8
792.1,2.5,0.9
794.1,2.7,0.9
796.1,2.5,0.9
798.1,2.4,0.9
800.1,2.5,0.9
802.1,2.5,0.8
804.1,2.5,0.9
806.1,2.6,0.9
808.1,2.6,0.8
810.1,2.6,0.9
812.1,2.6,0.8
814.1,2.5,0.8
816.1,2.5,0.8
818.1,2.5,0.9
820.1,2.5,0.9
822.1,6.7,3.2
824.1,12.5,6.3
826.1,17.0,7.1
828.1,31.1,7.8
830.1,50.8,9.3
832.1,70.7,10.7
834.1,90.7,12.1
836.1,110.7,13.6
838.1,129.9,14.9
840.1,142.3,15.8
842.1,148.1,16.1
844.1,149.3,20.0
846.1,152.6,34.3
848.1,155.9,46.1
850.1,157.6,49.6
852.1,166.2,50.5
854.1,176.4,52.1
856.1,186.7,53.9
858.1,197.1,55.6
860.1,207.5,57.3
862.1,217.9,59.2
864.1,228.3,61.0
866.1,238.6,62.7
868.1,249.3,64.5
870.1,253.8,65.3
872.1,254.3,65.4
874.1,254.2,65.4
876.1,254.1,65.4
878.1,253.9,65.4
880.1,253.9,65.4
882.1,253.9,65.5
884.1,254.0,65.5
886.1,254.0,65.5
888.1,254.0,65.5
890.1,254.0,65.5
892.1,254.0,65.5
894.1,254.0,65.5
896.1,254.0,65.5
898.1,254.0,65.5
900.1,254.0,65.4
902.1,254.0,65.5
904.1,254.0,65.5
906.1,254.0,65.4
908.1,254.0,65.5
910.1,254.0,65.5
912.1,254.0,65.4
914.1,254.0,65.5
916.1,254.0,65.4
918.1,254.0,65.4
920.1,253.9,65.4
922.1,254.0,65.5
924.1,254.0,65.5
926.1,254.0,65.4
928.1,248.1,64.4
930.1,231.4,62.1
932.1,211.8,59.3
934.1,192.1,56.4
936.1,174.1,53.7
938.1,163.6,52.2
940.1,159.2,51.4
942.1,158.1,44.4
944.1,154.3,28.4
946.1,151.6,19.9
948.1,149.8,18.0
950.1,138.4,17.5
952.1,119.0,16.2
954.1,99.3,14.6
956.1,79.3,13.0
958.1,59.3,11.4
960.1,39.5,9.9
962.1,25.8,8.7
964.1,18.9,8.2
966.1,14.0,5.9
968.1,4.2,1.8
970.1,1.7,0.7
972.1,2.1,0.8
974.1,2.3,0.9
976.1,2.3,0.9
978.1,2.4,0.9
980.1,2.4,1.0
982.1,2.4,0.9
984.1,2.3,0.9
986.1,2.3,0.9
988.1,2.3,0.9
990.1,2.3,0.9
992.1,2.3,0.9
994.1,2.3,0.9
996.1,2.3,0.9
998.1,2.3,0.9
1000.1,2.4,0.9
1002.1,2.3,0.9
1004.1,2.3,0.9
1006.1,2.3,1.0
1008.1,2.3,0.9
1010.1,2.4,0.9
1012.1,2.3,0.9
1014.1,2.3,0.9
1016.1,2.3,0.9
1018.1,2.3,0.9
1020.1,2.4,0.9
1022.1,2.3,0.9
1024.1,2.4,1.0
1026.1,2.6,1.0
